,0.1
323,68.30000000000001
324,67.95
325,67.65
326,67.35
327,67.75
328,67.15
329,68.4
330,67.60000000000001
331,67.85
332,67.30000000000001
333,69.39999999999999
334,67.80000000000001
335,68.7
336,67.5
337,68.45
338,67.5
339,67.80000000000001
340,68.0
341,69.05
342,68.25
343,68.8
344,68.25
345,68.85
346,68.8
347,68.65
348,69.3
349,69.8
350,68.0
351,69.1
352,69.35
353,69.6
354,68.89999999999999
355,69.05
356,69.1
357,69.35
358,69.6
359,69.45
360,70.05
361,69.95
362,69.55
363,69.25
364,67.80000000000001
365,68.85
366,68.95
367,70.35
368,68.4
369,68.5
370,69.19999999999999
371,68.95
372,70.19999999999999
373,69.5
374,69.45
375,69.8
376,69.69999999999999
377,70.19999999999999
378,69.5
379,70.55
380,70.55
381,70.25
382,69.95
383,69.95
384,71.15
385,69.89999999999999
386,70.6
387,71.0
388,70.89999999999999
389,70.25
390,70.35
391,71.1
392,71.0
393,70.7
394,70.19999999999999
395,71.39999999999999
396,70.35
397,70.85000000000001
398,70.55
399,70.3
400,69.69999999999999
401,70.19999999999999
402,70.89999999999999
403,72.1
404,71.6
405,71.65
406,70.95
407,71.65
408,70.95
409,70.7
410,70.55
411,71.7
412,71.35000000000001
413,71.65
414,72.0
415,72.05
416,71.85000000000001
417,70.89999999999999
418,71.55
419,71.6
420,71.95
421,71.95
422,72.05
423,71.25
424,71.05
425,71.39999999999999
426,71.25
427,72.2
428,70.7
429,72.25
430,71.55
431,72.15
432,72.95
433,71.65
434,71.05
435,71.8
436,71.39999999999999
437,71.45
438,70.39999999999999
439,70.6
440,71.5
441,70.6
442,72.35000000000001
443,70.85000000000001
444,70.89999999999999
445,71.1
446,71.15
447,71.1
448,70.85000000000001
449,72.7
450,72.8
451,71.6
452,71.89999999999999
453,72.15
454,71.35000000000001
455,70.7
456,72.45
457,71.7
458,71.89999999999999
459,72.7
460,73.15
461,72.35000000000001
462,72.35000000000001
463,72.15
464,72.25
465,72.95
466,72.95
467,73.25
468,73.55000000000001
469,72.65
470,72.55
471,72.75
472,72.0
473,73.15
474,73.65
475,73.4
476,73.5
477,72.89999999999999
478,72.7
479,72.85000000000001
480,72.8
481,73.75
482,73.8
483,73.45
484,73.55000000000001
485,72.6
486,72.75
487,74.25
488,73.8
489,74.1
490,71.85000000000001
491,74.1
492,73.0
493,74.35000000000001
494,73.1
495,74.1
496,73.05
497,72.5
498,72.05
499,73.0
500,72.95
501,73.8
502,74.25
503,73.6
504,73.9
505,72.95
506,74.8
507,74.15
508,74.5
509,74.25
510,75.25
