,0.0,0.01,0.1,0.5
195,35.199999999999996,38.3,58.9,48.85
196,35.199999999999996,38.25,58.25,45.25
197,35.199999999999996,38.550000000000004,59.35,45.95
198,35.199999999999996,38.0,60.099999999999994,46.400000000000006
199,35.199999999999996,38.35,59.35,46.35
200,35.199999999999996,38.35,58.85,47.25
201,35.199999999999996,38.65,58.75,47.85
202,35.199999999999996,38.45,59.150000000000006,46.9
203,35.199999999999996,38.550000000000004,59.35,47.099999999999994
204,35.199999999999996,38.550000000000004,60.45,45.95
205,35.199999999999996,38.7,59.95,48.3
206,35.25,38.6,59.25,47.25
207,35.199999999999996,38.6,59.75,46.150000000000006
208,35.199999999999996,38.7,59.5,48.6
209,35.25,38.6,59.5,44.95
210,35.25,39.15,59.9,49.4
211,35.25,38.9,60.650000000000006,49.25
212,35.25,38.85,61.25000000000001,48.699999999999996
213,35.25,38.7,60.6,47.75
214,35.25,38.9,61.25000000000001,47.099999999999994
215,35.25,38.800000000000004,61.1,47.3
216,35.25,38.5,60.650000000000006,48.05
217,35.25,38.9,60.75000000000001,47.9
218,35.25,38.9,63.0,47.75
219,35.25,39.050000000000004,61.35,46.150000000000006
220,35.25,38.7,62.050000000000004,48.699999999999996
221,35.25,38.9,61.4,47.699999999999996
222,35.25,39.0,61.85000000000001,44.9
223,35.25,38.85,62.0,47.55
224,35.25,38.9,60.85,45.65
225,35.25,38.9,61.6,48.6
226,35.3,38.85,62.849999999999994,47.15
227,35.25,39.1,61.75000000000001,47.75
228,35.25,38.95,62.55,45.6
229,35.25,39.15,61.75000000000001,47.85
230,35.25,38.9,61.1,47.25
231,35.25,39.2,62.7,48.75
232,35.25,39.050000000000004,61.050000000000004,49.95
233,35.3,39.1,62.1,47.349999999999994
234,35.3,39.35,61.7,47.349999999999994
235,35.3,39.15,62.8,47.5
236,35.3,39.15,62.150000000000006,47.199999999999996
237,35.3,39.1,61.25000000000001,47.0
238,35.3,39.050000000000004,61.95,48.4
239,35.3,39.1,61.95,47.199999999999996
240,35.3,39.300000000000004,62.5,47.65
241,35.3,39.35,62.45,46.0
242,35.3,39.4,62.74999999999999,49.85
243,35.3,39.2,63.800000000000004,48.949999999999996
244,35.3,38.95,62.64999999999999,49.55
245,35.3,39.25,62.45,47.75
246,35.3,39.5,63.449999999999996,48.0
247,35.3,39.4,62.35000000000001,47.25
248,35.3,39.050000000000004,63.849999999999994,46.75
249,35.3,39.35,62.25000000000001,50.3
250,35.3,39.4,63.24999999999999,48.75
251,35.3,39.300000000000004,63.449999999999996,46.550000000000004
252,35.3,39.5,63.0,48.05
253,35.3,39.35,63.55,50.05
254,35.3,39.35,62.74999999999999,48.75
255,35.3,39.5,63.55,48.8
256,35.3,39.4,63.0,47.449999999999996
257,35.3,39.5,63.2,47.9
258,35.3,39.6,63.55,48.6
259,35.3,39.5,64.35,48.4
260,35.3,39.550000000000004,63.1,47.199999999999996
261,35.3,39.45,63.449999999999996,46.35
262,35.3,39.550000000000004,63.1,47.3
263,35.3,39.4,63.3,47.699999999999996
264,35.3,39.550000000000004,63.55,48.25
265,35.3,39.65,63.55,47.099999999999994
266,35.3,39.550000000000004,63.6,49.1
267,35.3,39.300000000000004,63.800000000000004,49.0
268,35.3,39.5,64.85,48.85
269,35.3,39.550000000000004,63.65,49.45
270,35.3,39.6,63.9,49.45
271,35.3,39.7,64.3,50.349999999999994
272,35.3,39.800000000000004,65.7,49.3
273,35.3,39.800000000000004,63.2,48.65
274,35.3,39.85,64.85,48.25
275,35.3,39.550000000000004,64.9,45.95
276,35.3,39.900000000000006,64.9,48.3
277,35.3,39.65,64.7,48.8
278,35.3,39.800000000000004,64.85,48.35
279,35.3,39.65,65.25,48.65
280,35.3,39.75,65.3,51.1
281,35.3,39.7,65.5,49.4
282,35.3,39.550000000000004,65.35,51.74999999999999
