,0
359,68.5
360,68.5
361,68.5
362,68.5
363,68.55
364,68.55
365,68.55
366,68.55
367,68.55
368,68.5
369,68.5
370,68.5
371,68.5
372,68.5
373,68.5
374,68.55
375,68.5
376,68.5
377,68.45
378,68.5
379,68.5
380,68.5
381,68.55
382,68.55
383,68.55
384,68.55
385,68.55
386,68.55
387,68.55
388,68.55
389,68.60000000000001
390,68.60000000000001
391,68.60000000000001
392,68.60000000000001
393,68.60000000000001
394,68.60000000000001
395,68.60000000000001
396,68.60000000000001
397,68.60000000000001
398,68.60000000000001
399,68.60000000000001
400,68.60000000000001
401,68.60000000000001
402,68.60000000000001
403,68.60000000000001
404,68.60000000000001
405,68.60000000000001
406,68.60000000000001
407,68.60000000000001
408,68.60000000000001
409,68.60000000000001
410,68.60000000000001
411,68.60000000000001
412,68.60000000000001
413,68.60000000000001
414,68.60000000000001
415,68.60000000000001
416,68.60000000000001
417,68.60000000000001
418,68.60000000000001
419,68.60000000000001
420,68.60000000000001
421,68.60000000000001
422,68.60000000000001
423,68.55
424,68.60000000000001
425,68.60000000000001
426,68.60000000000001
427,68.60000000000001
428,68.60000000000001
429,68.60000000000001
430,68.60000000000001
431,68.60000000000001
432,68.55
433,68.60000000000001
434,68.60000000000001
435,68.60000000000001
436,68.60000000000001
437,68.60000000000001
438,68.60000000000001
439,68.60000000000001
440,68.60000000000001
441,68.60000000000001
442,68.60000000000001
443,68.60000000000001
444,68.60000000000001
445,68.60000000000001
446,68.60000000000001
447,68.60000000000001
448,68.60000000000001
449,68.60000000000001
450,68.60000000000001
451,68.55
452,68.60000000000001
453,68.60000000000001
454,68.60000000000001
455,68.60000000000001
456,68.60000000000001
457,68.60000000000001
458,68.60000000000001
459,68.60000000000001
460,68.60000000000001
461,68.60000000000001
462,68.60000000000001
463,68.60000000000001
464,68.60000000000001
465,68.60000000000001
466,68.60000000000001
467,68.60000000000001
468,68.60000000000001
469,68.60000000000001
470,68.60000000000001
471,68.60000000000001
472,68.60000000000001
473,68.60000000000001
474,68.60000000000001
475,68.55
476,68.60000000000001
477,68.60000000000001
478,68.60000000000001
479,68.60000000000001
480,68.55
481,68.55
482,68.55
483,68.55
484,68.55
485,68.60000000000001
486,68.60000000000001
487,68.65
488,68.65
489,68.60000000000001
490,68.65
491,68.65
492,68.60000000000001
493,68.60000000000001
494,68.65
495,68.65
496,68.60000000000001
497,68.60000000000001
498,68.60000000000001
499,68.60000000000001
500,68.60000000000001
501,68.60000000000001
502,68.60000000000001
503,68.60000000000001
504,68.60000000000001
505,68.60000000000001
506,68.60000000000001
507,68.60000000000001
508,68.60000000000001
509,68.60000000000001
510,68.60000000000001
511,68.55
512,68.55
513,68.55
514,68.60000000000001
515,68.60000000000001
516,68.60000000000001
517,68.60000000000001
518,68.55
519,68.60000000000001
520,68.60000000000001
521,68.60000000000001
522,68.60000000000001
523,68.60000000000001
524,68.60000000000001
525,68.60000000000001
526,68.65
527,68.65
528,68.65
529,68.55
530,68.65
531,68.60000000000001
532,68.60000000000001
533,68.60000000000001
534,68.60000000000001
535,68.60000000000001
536,68.60000000000001
537,68.60000000000001
538,68.60000000000001
539,68.60000000000001
540,68.60000000000001
541,68.60000000000001
542,68.60000000000001
543,68.60000000000001
544,68.60000000000001
545,68.60000000000001
546,68.60000000000001
547,68.60000000000001
548,68.60000000000001
549,68.60000000000001
550,68.60000000000001
551,68.60000000000001
552,68.60000000000001
553,68.60000000000001
554,68.60000000000001
555,68.60000000000001
556,68.65
557,68.60000000000001
558,68.60000000000001
559,68.60000000000001
560,68.60000000000001
561,68.60000000000001
562,68.60000000000001
563,68.60000000000001
564,68.60000000000001
565,68.60000000000001
566,68.60000000000001
567,68.60000000000001
568,68.60000000000001
569,68.60000000000001
570,68.60000000000001
571,68.60000000000001
572,68.65
573,68.65
574,68.60000000000001
575,68.60000000000001
576,68.60000000000001
577,68.60000000000001
578,68.65
579,68.60000000000001
580,68.60000000000001
581,68.60000000000001
582,68.60000000000001
583,68.60000000000001
584,68.60000000000001
585,68.60000000000001
586,68.60000000000001
587,68.60000000000001
588,68.60000000000001
589,68.60000000000001
590,68.60000000000001
591,68.60000000000001
592,68.60000000000001
593,68.60000000000001
594,68.60000000000001
595,68.60000000000001
596,68.60000000000001
597,68.60000000000001
598,68.60000000000001
599,68.60000000000001
600,68.60000000000001
601,68.60000000000001
602,68.60000000000001
603,68.60000000000001
604,68.60000000000001
605,68.60000000000001
606,68.60000000000001
607,68.60000000000001
608,68.60000000000001
609,68.60000000000001
610,68.60000000000001
611,68.60000000000001
612,68.60000000000001
613,68.60000000000001
614,68.60000000000001
615,68.60000000000001
616,68.60000000000001
617,68.60000000000001
618,68.60000000000001
619,68.60000000000001
620,68.60000000000001
621,68.60000000000001
622,68.60000000000001
623,68.60000000000001
624,68.60000000000001
625,68.60000000000001
626,68.60000000000001
627,68.60000000000001
628,68.60000000000001
629,68.60000000000001
630,68.60000000000001
631,68.60000000000001
632,68.60000000000001
633,68.60000000000001
634,68.60000000000001
635,68.60000000000001
636,68.60000000000001
637,68.60000000000001
638,68.60000000000001
639,68.60000000000001
640,68.60000000000001
641,68.60000000000001
642,68.60000000000001
643,68.60000000000001
644,68.55
645,68.60000000000001
646,68.65
647,68.60000000000001
648,68.60000000000001
649,68.60000000000001
650,68.60000000000001
651,68.60000000000001
652,68.60000000000001
653,68.60000000000001
654,68.60000000000001
655,68.60000000000001
656,68.65
657,68.65
658,68.65
659,68.65
660,68.65
661,68.65
662,68.65
663,68.65
664,68.65
665,68.65
666,68.65
667,68.65
668,68.65
669,68.65
670,68.65
671,68.65
672,68.65
673,68.65
674,68.65
675,68.65
676,68.65
677,68.65
678,68.65
679,68.65
680,68.65
681,68.65
682,68.65
683,68.65
684,68.65
685,68.65
686,68.65
687,68.65
688,68.65
689,68.65
690,68.65
691,68.65
692,68.65
693,68.65
694,68.65
695,68.65
696,68.7
697,68.65
698,68.7
699,68.7
700,68.65
701,68.65
702,68.60000000000001
703,68.60000000000001
704,68.60000000000001
705,68.60000000000001
706,68.60000000000001
707,68.60000000000001
708,68.60000000000001
709,68.65
710,68.65
711,68.65
712,68.65
713,68.65
714,68.65
715,68.65
716,68.7
717,68.7
718,68.7
719,68.7
720,68.7
721,68.7
722,68.7
723,68.7
724,68.7
725,68.7
726,68.7
727,68.7
728,68.7
729,68.7
730,68.7
731,68.7
732,68.7
733,68.7
734,68.7
735,68.7
736,68.75
737,68.7
738,68.7
739,68.7
740,68.7
741,68.7
742,68.7
743,68.7
744,68.7
745,68.7
746,68.7
747,68.7
748,68.7
749,68.7
750,68.7
751,68.7
752,68.7
753,68.65
754,68.65
755,68.65
756,68.65
757,68.65
758,68.65
759,68.65
760,68.65
761,68.65
762,68.65
763,68.65
764,68.65
765,68.65
766,68.65
767,68.65
768,68.65
769,68.65
770,68.65
771,68.65
772,68.65
773,68.65
774,68.65
775,68.65
776,68.65
777,68.65
778,68.65
779,68.65
780,68.65
781,68.65
782,68.65
783,68.65
784,68.65
785,68.65
786,68.65
787,68.65
788,68.65
789,68.65
790,68.65
791,68.65
792,68.7
793,68.65
794,68.65
795,68.65
796,68.65
797,68.65
798,68.65
799,68.65
800,68.65
801,68.65
802,68.65
803,68.65
804,68.65
805,68.65
806,68.65
807,68.65
808,68.65
809,68.65
810,68.65
811,68.7
812,68.7
813,68.7
814,68.7
815,68.7
816,68.75
817,68.7
818,68.7
819,68.75
820,68.75
821,68.7
822,68.65
823,68.65
824,68.7
825,68.65
826,68.65
827,68.65
828,68.65
829,68.65
830,68.65
831,68.65
832,68.65
833,68.65
834,68.65
835,68.65
836,68.65
837,68.65
838,68.65
839,68.65
840,68.65
841,68.65
842,68.65
843,68.65
844,68.65
845,68.65
846,68.65
847,68.65
848,68.65
849,68.65
850,68.65
851,68.65
852,68.65
853,68.65
854,68.65
855,68.65
856,68.65
857,68.65
858,68.65
859,68.65
860,68.65
861,68.65
862,68.65
863,68.65
864,68.65
865,68.65
866,68.65
867,68.65
868,68.65
869,68.65
870,68.65
871,68.65
872,68.65
873,68.65
874,68.65
875,68.65
876,68.65
877,68.65
878,68.65
879,68.65
880,68.65
881,68.65
882,68.7
883,68.7
884,68.7
885,68.65
886,68.65
887,68.65
888,68.65
889,68.7
890,68.7
891,68.60000000000001
892,68.65
893,68.65
894,68.65
895,68.65
896,68.65
897,68.65
898,68.65
899,68.65
900,68.65
901,68.65
902,68.65
903,68.65
904,68.65
905,68.65
906,68.65
907,68.65
908,68.65
909,68.65
910,68.65
911,68.65
912,68.65
913,68.65
914,68.65
915,68.65
916,68.65
917,68.65
918,68.65
919,68.65
920,68.65
921,68.65
922,68.65
923,68.65
924,68.65
925,68.65
926,68.65
927,68.65
928,68.65
929,68.65
930,68.65
931,68.65
932,68.65
933,68.65
934,68.65
935,68.7
936,68.65
937,68.65
938,68.65
939,68.65
940,68.65
941,68.65
942,68.65
943,68.7
944,68.7
945,68.7
946,68.7
947,68.7
948,68.65
949,68.65
950,68.65
951,68.65
952,68.65
953,68.65
954,68.65
955,68.65
956,68.65
957,68.65
958,68.65
959,68.65
960,68.65
961,68.65
962,68.65
963,68.65
964,68.65
965,68.65
966,68.65
967,68.65
968,68.65
969,68.7
970,68.7
971,68.7
972,68.7
973,68.7
974,68.7
975,68.7
976,68.7
977,68.7
978,68.7
979,68.7
980,68.7
981,68.7
982,68.7
983,68.7
984,68.65
985,68.65
986,68.65
987,68.65
988,68.7
989,68.65
990,68.65
991,68.65
992,68.65
993,68.65
994,68.65
995,68.65
996,68.65
997,68.65
998,68.65
999,68.65
