,"Realistic, ε=0.1, Q₁=0","Optimistic, ε=0, Q₁=5"
559,66.0,83.0
560,66.3,83.0
561,66.3,82.55
562,66.0,82.65
563,66.55,82.69999999999999
564,65.85,83.0
565,65.9,83.05
566,65.64999999999999,82.89999999999999
567,66.55,82.75
568,65.14999999999999,82.55
569,66.3,82.45
570,65.95,82.3
571,65.35,82.65
572,66.14999999999999,82.19999999999999
573,65.45,82.8
574,66.10000000000001,82.6
575,65.75,82.39999999999999
576,66.85,82.45
577,66.10000000000001,82.15
578,65.25,82.19999999999999
579,66.85,82.5
580,66.55,82.3
581,66.5,82.69999999999999
582,66.25,82.75
583,66.25,82.75
584,67.10000000000001,83.39999999999999
585,65.85,83.5
586,66.0,83.6
587,66.4,83.35000000000001
588,66.8,83.39999999999999
589,66.2,83.45
590,67.2,83.39999999999999
591,67.05,83.25
592,66.7,83.39999999999999
593,65.7,83.2
594,66.75,83.3
595,66.8,82.95
596,67.4,83.05
597,67.4,83.35000000000001
598,66.35,83.3
599,67.5,83.25
600,67.0,83.45
601,67.7,83.65
602,67.25,83.55
603,66.2,83.6
604,67.05,83.75
605,67.7,83.7
606,67.10000000000001,83.75
607,68.65,83.6
608,67.60000000000001,83.45
609,67.35,83.55
610,67.30000000000001,83.55
611,68.30000000000001,83.3
612,67.60000000000001,83.45
613,68.05,83.3
614,66.8,83.5
615,67.30000000000001,83.55
616,67.75,83.75
617,67.4,83.85000000000001
618,66.60000000000001,83.8
619,66.75,83.85000000000001
620,67.80000000000001,83.39999999999999
621,67.60000000000001,83.39999999999999
622,65.95,83.55
623,68.60000000000001,83.6
624,68.35,83.8
625,68.35,83.89999999999999
626,67.75,84.0
627,68.65,83.89999999999999
628,68.30000000000001,84.05
629,67.4,83.89999999999999
630,68.95,84.3
631,67.45,84.6
632,68.2,84.65
633,68.05,84.55
634,67.65,84.5
635,66.60000000000001,84.7
636,68.5,84.8
637,67.85,84.89999999999999
638,67.80000000000001,84.89999999999999
639,69.25,84.89999999999999
640,69.25,85.25
641,68.60000000000001,85.55
642,67.4,85.45
643,68.65,85.6
644,68.30000000000001,85.5
645,67.65,85.25
646,67.80000000000001,85.25
647,68.35,85.1
648,68.45,85.1
649,68.35,85.05
650,69.25,85.0
651,68.55,84.6
652,69.39999999999999,84.7
653,69.25,84.8
654,69.15,84.55
655,68.30000000000001,84.7
656,68.15,84.65
657,68.55,84.65
658,68.55,84.89999999999999
659,69.3,84.6
660,68.2,84.5
661,70.0,84.5
662,69.75,84.39999999999999
663,68.4,84.5
664,69.0,84.7
665,69.0,84.65
666,68.7,84.8
667,68.30000000000001,84.55
668,69.5,84.75
669,68.7,84.7
670,68.85,84.55
671,68.95,84.05
672,69.0,84.35000000000001
673,69.45,84.45
674,68.30000000000001,84.35000000000001
675,67.9,84.5
676,69.15,84.65
677,69.65,84.75
678,68.25,84.89999999999999
679,69.35,85.15
680,69.75,85.15
681,70.0,84.8
682,69.1,84.6
683,68.8,84.89999999999999
684,69.35,85.25
685,69.19999999999999,85.1
686,70.19999999999999,84.89999999999999
687,69.85,85.1
688,70.39999999999999,85.0
689,70.6,84.75
690,68.95,84.8
691,70.1,84.65
692,69.5,84.55
693,70.1,84.5
694,69.65,84.7
695,69.8,84.6
696,68.60000000000001,84.5
697,69.75,84.45
698,69.0,84.35000000000001
699,69.6,84.65
700,69.69999999999999,84.5
